1.526; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
901.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
911.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
921.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
931.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
941.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
951.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
961.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
971.535; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
981.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
991.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1001.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1011.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1021.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1031.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1041.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1051.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1061.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1071.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1081.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1091.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1101.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1111.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1121.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1131.527; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1141.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1151.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1161.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1171.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1181.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1191.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1201.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1211.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1221.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1231.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1241.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1251.538; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1261.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1271.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1281.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1291.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1301.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1311.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1321.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1331.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1341.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1351.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1361.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1371.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1381.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1391.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1401.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1411.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1421.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1431.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1441.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1451.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1461.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1471.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1481.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1491.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1501.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1511.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1521.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1531.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1541.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1551.534; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1561.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1571.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1581.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1591.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1601.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1611.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1621.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1631.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1641.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1651.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1661.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1671.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1681.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1691.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1701.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1711.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1721.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1731.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1741.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1751.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1761.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1771.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1781.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1791.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1801.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1811.508; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1821.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1831.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1841.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1851.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1861.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1871.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1881.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1891.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1901.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1911.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1921.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1931.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1941.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1951.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1961.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1971.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1981.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
1991.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2001.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2011.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2021.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2031.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2041.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2051.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2061.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2071.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2081.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2091.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2101.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2111.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2121.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2131.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2141.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2151.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2161.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2171.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2181.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2191.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2201.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2211.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2221.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2231.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2241.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2251.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2261.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2271.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2281.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2291.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2301.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2311.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2321.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2331.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2341.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2351.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2361.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2371.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2381.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2391.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2401.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2411.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2421.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2431.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2441.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2451.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2461.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2471.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2481.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2491.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2501.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2511.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2521.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2531.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2541.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2551.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2561.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2571.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2581.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2591.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2601.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2611.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2621.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2631.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2641.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2651.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2661.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2671.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2681.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2691.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2701.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2711.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2721.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2731.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2741.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2751.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2761.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2771.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2781.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2791.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2801.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2811.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2821.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2831.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2841.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2851.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2861.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2871.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2881.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2891.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2901.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2911.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2921.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2931.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2941.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2951.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2961.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2971.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2981.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
2991.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3001.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3011.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3021.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3031.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3041.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3051.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3061.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3071.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3081.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3091.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3101.525; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3111.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3121.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3131.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3141.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3151.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3161.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3171.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3181.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3191.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3201.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3211.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3221.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3231.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3241.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3251.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3261.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3271.509; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3281.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3291.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3301.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3311.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3321.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3331.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3341.519; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3351.523; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3361.522; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3371.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3381.524; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3391.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3401.516; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3411.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3421.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3431.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3441.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3451.512; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3461.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3471.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3481.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3491.514; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3501.510; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3511.513; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3521.517; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3531.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3541.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3551.521; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3561.511; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3571.518; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3581.520; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
3591.515; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
